date,min_price
2020-02-12,4799
2020-02-13,4799
2020-02-14,4799
2020-02-18,4798.99
2020-02-28,4768.99
2020-03-02,4768.99
2020-03-03,4771.99
2020-03-13,4662.8
2020-03-14,4663.8
2020-03-17,4670.8
2020-03-18,4689.8
2020-03-26,4682.8
2020-03-27,4680.8
2020-03-29,4678.8
2020-04-01,4671.8
2020-04-02,4499.99
2020-04-04,4670.8
2020-04-05,4499.99
2020-04-06,4445.99
2020-04-07,4445.99
2020-04-08,4445.99
2020-04-09,4445.99
2020-04-10,4399
2020-04-11,4399
2020-04-12,4319.99
2020-04-13,4319.99
2020-04-14,4319.99
2020-04-15,4248.8
2020-04-16,4248.99
2020-04-17,4248.99
2020-04-18,3869.99
2020-04-19,4250.8
2020-04-20,4250.8
2020-04-21,4248.99
2020-04-22,4248.99
2020-04-23,4256.8
2020-04-24,4256.8
2020-04-25,4256.8
2020-04-27,4251.8
2020-04-28,4258.8
2020-04-29,4257.8
2020-04-30,4257.8
2020-05-01,4257.8
2020-05-02,4257.8
2020-05-03,4248.99
2020-05-04,4248.99
2020-05-05,4248.99
2020-05-06,4245.8
2020-05-07,4199.99
2020-05-08,4199.99
2020-05-09,4199.99
2020-05-10,4199.99
2020-05-11,4199
2020-05-12,4199
2020-05-13,4199
2020-05-14,4199
2020-05-15,4199
2020-05-16,4199
2020-05-18,4199
2020-05-19,4199
2020-05-20,4199
2020-05-21,4199
2020-05-22,4199
2020-05-24,4199
2020-05-25,4199
2020-05-26,3999.99
2020-05-27,3999
2020-05-29,3999
2020-05-30,3999
2020-05-31,3999
2020-06-04,3999
2020-06-05,3999
2020-06-07,3999
2020-06-08,3999
2020-06-10,3999
2020-06-11,3999
2020-06-12,3999
2020-06-13,3999
2020-06-14,3999
2020-06-16,3699.99
2020-06-17,3699
2020-06-18,3699
2020-06-19,3699.99
2020-06-20,3699.99
2020-06-21,3699.99
2020-06-22,3699.99
2020-06-23,3699.99
2020-06-24,3699.99
2020-06-25,3699.99
