avgprice,Date,minprice,Stores
6499.99,2020-02-11,6499.99,Pret mediu
6499.495,2020-02-12,6499,Pret minim
6499.495,2020-02-13,6499,
6499.394,2020-02-14,6498.99,
6499.328333,2020-02-18,6498.99,
6487.328333,2020-02-28,6426.99,
6489.851429,2020-03-03,6431.99,
6499.28,2020-03-13,6497.99,
6585.135714,2020-03-16,6497.99,
6613.707143,2020-03-17,6497.99,
6638.84375,2020-03-19,6497.99,
6636.34375,2020-03-21,6477.99,
6578.46875,2020-03-22,6351.8,
6553.46875,2020-03-23,6351.8,
6478.345,2020-03-24,6351.8,
6536.22,2020-03-25,6477.99,
6539.845,2020-03-26,6477.99,
6638.345,2020-03-29,6499,
6573.845,2020-04-01,6326.8,
6548.72,2020-04-02,6299.99,
6573.72,2020-04-04,6325.8,
6423.72,2020-04-05,5999,
6449.22,2020-04-07,5999,
6436.72,2020-04-08,6199,
6355.53,2020-04-09,6199,
6354.641111,2020-04-10,6199,
6279.863333,2020-04-11,6199,
6124.407778,2020-04-12,5799.99,
6163.74,2020-04-13,5849.9,
6164.295556,2020-04-14,5849.9,
6077.741111,2020-04-15,5754.8,
6077.963333,2020-04-16,5756.8,
6077.963333,2020-04-17,5756.8,
6037.963333,2020-04-18,5489.9,
6023.475,2020-04-19,5489.99,
5973.475,2020-04-20,5489.99,
6252.675,2020-04-21,5489.99,
5964.475,2020-04-22,5459,
6108.476,2020-04-23,5489.99,
6069.276,2020-04-24,5459,
6119.176,2020-04-25,5459,
6069.176,2020-04-26,5459,
6094.276,2020-04-27,5489.99,
6094.675,2020-04-29,5489.99,
6155.375,2020-04-30,5489.99,
6127.340909,2020-05-01,5489.99,
6172.795455,2020-05-02,5489.99,
6154.523636,2020-05-03,5489.99,
6146.978182,2020-05-04,5489.99,
6145.613636,2020-05-06,5489.99,
6154.341818,2020-05-07,5489.99,
6137.886364,2020-05-08,5489.99,
6147.250909,2020-05-09,5489.99,
6145.796364,2020-05-10,5489.99,
6190.250909,2020-05-11,5489.99,
6210.796364,2020-05-12,5489.99,
6125.978182,2020-05-13,5489.99,
6136.795455,2020-05-14,5489.99,
6221.613636,2020-05-15,5489.99,
6220.977273,2020-05-16,5489.99,
6207.340909,2020-05-18,5489.99,
6207.25,2020-05-19,5489.99,
6118.431818,2020-05-20,5489.99,
5995.704545,2020-05-21,5489.99,
5964.506364,2020-05-22,5489.99,
5964.87,2020-05-23,5489.99,
5951.233636,2020-05-24,5489.99,
5973.960909,2020-05-25,5489.99,
5932.424545,2020-05-26,5489.99,
5943.242727,2020-05-27,5489.99,
5935.27,2020-05-28,5699,
5935.820909,2020-05-29,5699,
5931.275455,2020-06-01,5649,
5913.093636,2020-06-02,5649,
5912.820909,2020-06-04,5649,
5938.548182,2020-06-05,5649,
5883.72,2020-06-06,5649,
5865.538182,2020-06-07,5649,
5877.810909,2020-06-10,5649,
5826.992727,2020-06-11,5499,
5827.447273,2020-06-12,5499,
5827.265455,2020-06-13,5499,
5804.099091,2020-06-15,5499,
5803.735455,2020-06-16,5499,
5803.96,2020-06-17,5499,
5804.323636,2020-06-18,5499,
5847.230909,2020-06-19,5499,
5794.414545,2020-06-20,5499,
5785.466364,2020-06-21,5399,
5763.739091,2020-06-22,5399,
5742.250909,2020-06-23,5399,
5735.614545,2020-06-25,5399,
